userId,productId,time,orderStatus,productPrice,counts,result
-1,3,2019-05-21 00-12-10,0,89,1,FALSE
5,-1,2019-05-21 00-12-10,0,89,1,FALSE
5,3,ftasbdiubu,0,89,1,FALSE
5,3,2019-05-21 00-12-10,123,89,1,FALSE
5,3,2019-05-21 00-12-10,-22,89,1,FALSE
5,3,2019-05-21 00-12-10,0,-22,1,FALSE
5,3,2019-05-21 00-12-10,0,0,1,FALSE
5,3,2019-05-21 00-12-10,0,89,-11,FALSE
5,3,2019-05-21 00-12-10,0,89,0,TRUE
5,3,2019-05-21 00-12-10,0,89,-9999,FALSE
-1,9,2019-05-21 00-12-10,0,89,1,FALSE
0,9,2019-05-21 00-12-10,0,89,1,FALSE
1,9,2019-05-21 00-12-10,0,89,1,FALSE
16898,9,2019-05-21 00-12-10,0,89,1,FALSE
2,-1,2019-05-21 00-12-10,0,89,1,FALSE
2,0,2019-05-21 00-12-10,0,89,1,FALSE
2,1,2019-05-21 00-12-10,0,89,1,FALSE
2,1792,2019-05-21 00-12-10,0,89,1,FALSE
5,3,2019-05-21 00-12-10,0,89,1,TRUE
